% Model:              SL_2D.mph
% Version:            COMSOL 6.1.0.252
% Date:               Sep 4 2023, 14:55
% Dimension:          2
% Nodes:              121
% Expressions:        2
% Description:        Dependent variable P1, Dependent variable P2
% Length unit:        m
% X                       Y                        P1 (1) @ t=25            P2 (1) @ t=25
0.40000000000000036       1.6                      0.8792575915903044       -0.045551867381961875
0.8000000000000003        1.6                      0.787812753374456        -0.12590820729302468
1.2000000000000002        1.6                      0.6090356949992204       -0.25525512883129126
1.6                       1.6                      0.39574511321650535      -0.3957451132197293
2                         1.6                      0.2808024105897633       -0.4655519817692092
-2                        2                        0.3346823864512578       0.3346823864538602
-1.6                      2                        0.4655519816290251       0.2808024105315222
-1.2                      2                        0.6790137217157508       0.17299735741628414
-0.7999999999999998       2                        0.826280168023417        0.08174882118142651
-0.3999999999999999       2                        0.8863706499639727       0.02909105820543443
0                         2                        0.8994369574204165       1.6298130261819787E-11
0.40000000000000036       2                        0.8863706500146874       -0.029091058170187804
0.8000000000000003        2                        0.8262801681334048       -0.08174882114658474
1.2000000000000002        2                        0.6790137218715986       -0.17299735740973113
1.6                       2                        0.46555198176592855      -0.28080241059237737
2                         2                        0.33468238655543453      -0.3346823865584293
