% X                       Y                        sigma11 @ t=5            sigma22 @ t=5            sigma12 @ t=5            D1 @ t=5                 D2 @ t=5
1.2000000000000002        -2                       -0.16930518311855372     1.327990193074821E-4     -9.385675069951832E-4    -0.1854274668244399      -3.5962161512767543E-4
1.2400000000000002        -2                       -0.14735548364698434     2.8240168737848903E-4    -5.90020972489072E-4     -0.17716196417928173     -3.6615043252657964E-4
1.2800000000000002        -2                       -0.1267399561790815      2.891481728709757E-4     -6.362106193604083E-4    -0.16889777277115695     -3.7246456775946735E-4
1.3200000000000003        -2                       -0.10696605307255853     4.160971720181955E-4     -6.033376262810503E-4    -0.16045845888009025     -3.785670071187741E-4
1.3599999999999999        -2                       -0.08875237059568432     4.088798252132285E-4     -4.8658874963815324E-4   -0.15183797618376157     -3.84463957820394E-4
1.4                       -2                       -0.07161015681021314     4.68400156597909E-4      -6.024619810076626E-4    -0.14328939196092433     -3.901545026447628E-4
1.44                      -2                       -0.05605721298845572     5.013269527965446E-4     -4.249637858193822E-4    -0.13430741888671505     -3.956440819536944E-4
1.48                      -2                       -0.041878527532099516    5.467160397471596E-4     -3.673865050004693E-4    -0.12543197348175786     -4.0093201549110113E-4
1.52                      -2                       -0.02927888975499488     5.78021414028301E-4      -3.427926272612375E-4    -0.11637930574088291     -4.0601916901504553E-4
1.56                      -2                       -0.01844143583163717     5.744725155227949E-4     -2.6278827397220594E-4   -0.10713455185186493     -4.109025702385416E-4
1.6                       -2                       -0.008969567762234525    6.31008521022023E-4      -7.868796511414922E-5    -0.09814948351302524     -4.155803626418597E-4
1.6400000000000001        -2                       -0.0017112438016953935   5.573587144254424E-4     -1.7559563199130712E-4   -0.08846589048219693     -4.2004467918209387E-4
1.6800000000000002        -2                       0.00426719681983936      6.246018730282034E-4     9.752967011597558E-6     -0.07909177020819068     -4.2428094452914844E-4
1.7200000000000002        -2                       0.008050789551851597     4.63769170537625E-4      7.067453984775651E-5     -0.06951971102343499     -4.2828453904153463E-4
1.7600000000000002        -2                       0.010427092795959722     4.508175510805892E-4     6.0913257385109E-5       -0.05972072754170118     -4.320104618839027E-4
1.8000000000000003        -2                       0.01058930021944808      1.0947091745265765E-4    7.619803520311774E-4     -0.05042969092219309     -4.354483324209152E-4
1.8399999999999999        -2                       0.010118215907080782     9.247952919920824E-5     2.6001765426341555E-4    -0.04007831104007449     -4.3854029590216503E-4
1.88                      -2                       0.008178060412763484     -1.5042821899484068E-5   5.499657754059958E-4     -0.030311344020660637    -4.412089782703382E-4
1.92                      -2                       0.004263781920064035     -8.375640746603285E-4    0.0010078053395684086    -0.02029694058262585     -4.4341345374047936E-4
1.96                      -2                       0.0021933876898012827    -9.419065209876963E-4    5.924547974424377E-4     -0.009982192429265443    -4.449672604021626E-4
2                         -2                       -0.001794285870079156    -0.0017944362252088476   6.973087418286894E-4     -4.483237950063529E-4    -4.458491700689987E-4
-2                        -1.96                    -0.0014654360737508107   0.0038403749655083665    -0.0010905673431895052   -5.981409998060405E-4    0.013469654695488803
-1.96                     -1.96                    0.0019471059735458422    0.0019487652556444855    -0.0018860599771966108   -0.013274524255131023    0.013274420755332722
-1.92                     -1.96                    0.002775744014688556     8.27447402341596E-6      -0.003114733745271492    -0.02690288233474182     0.01307640036813873
-1.88                     -1.96                    0.00442172415207114      -6.928956072013315E-4    -0.0022298158233497595   -0.04003975073679836     0.01287477010552146
-1.84                     -1.96                    0.004932183890798637     -0.0011648375766917466   -2.3110387649726005E-4   -0.05275170227857373     0.012667200400086537
-1.8                      -1.96                    0.003223889391257599     -0.0016142703582136004   5.653793162519877E-4     -0.06615186658964922     0.012453738157753566
-1.76                     -1.96                    1.900532614489102E-4     -0.0016163409255243065   0.003906641225100815     -0.07803022387760339     0.01223369362297462
-1.72                     -1.96                    -0.00520133377919367     -0.0016627883459453333   0.006054264787148225     -0.09049072255484368     0.012006939651661913
-1.68                     -1.96                    -0.012917374793267065    -0.0016370654034990034   0.008475701406615799     -0.10254128787702795     0.011773400588484806
-1.6400000000000001       -1.96                    -0.02302104990965815     -0.0016462324511901452   0.01090487748884636      -0.114214981091034       0.011533018589240246
-1.6                      -1.96                    -0.03486688023438438     -0.0014535965470082943   0.012961226498075407     -0.12620637566648055     0.01128585002785848
-1.56                     -1.96                    -0.04954804450869003     -0.00147416025020956     0.015262930079825224     -0.13712752191655173     0.011031949387473969
-1.52                     -1.96                    -0.0657572243710491      -0.0013295799653332899   0.017330000528884684     -0.14829668115268568     0.010771523026714927
-1.48                     -1.96                    -0.08401397887562762     -0.0012054072915593933   0.019230230574177026     -0.15908722657255586     0.01050460511186875
-1.44                     -1.96                    -0.10405647416665365     -0.0011096022504967357   0.020854268144347238     -0.1695161177826945      0.010231541582211082
-1.4                      -1.96                    -0.12540287284533239     -9.02248786582082E-4     0.02285164038580921      -0.17998983006136562     0.009952413584546765
-1.3599999999999999       -1.96                    -0.14859126780208365     -8.306609006183373E-4    0.023759645164735305     -0.1897289837333606      0.00966749314236845
-1.3199999999999998       -1.96                    -0.17274915491689746     -6.712838984484458E-4    0.025132961027112724     -0.19946627830491878     0.009377108032188622
-1.28                     -1.96                    -0.1981038075351989      -5.331650077372227E-4    0.02617442126235564      -0.20883465169965568     0.009081339219959933
-1.24                     -1.96                    -0.22436671816316495     -4.073806200012367E-4    0.026838618982794354     -0.21784311595011036     0.008780712266789684
-1.2                      -1.96                    -0.2512515926096951      -2.3369798499350142E-4   0.028153667601406016     -0.22675681345237297     0.008475321393760601
-1.1600000000000001       -1.96                    -0.27892096013247547     -1.3403283511854297E-4   0.028014252206443893     -0.23506483008570367     0.008165551572776264
-1.12                     -1.96                    -0.3068399272848578      1.167500849667824E-5     0.02857204589108782      -0.2432466523443215      0.007851790478338255
-1.08                     -1.96                    -0.33508201897662293     1.3716244029249314E-4    0.028747005874690493     -0.25106135398057816     0.007534144719639202
-1.04                     -1.96                    -0.36340266253625103     2.5143587940806844E-4    0.028537447168996616     -0.2585144906842313      0.007213228768554333
-1                        -1.96                    -0.3915320664595412      4.1503620905702573E-4    0.029065281011137187     -0.26577983453328446     0.006889140839849726
